h_tract,w_tract,commuters
42003429201,42003413500,54
42003437000,42003452000,54
42003450700,42003451105,54
42003457100,42003458000,54
42003460002,42003452000,54
42003473401,42003473401,54
42003474203,42003474202,54
42003475304,42003469000,54
42003488400,42003040200,54
42003488500,42003488500,54
42003492800,42003020100,54
42003495000,42003495000,54
42003512000,42003020100,54
42003521302,42003520001,54
42003521402,42003521302,54
42003523800,42003982200,54
42003526201,42003526101,54
42003526302,42003040200,54
42003564400,42003040200,54
42003060300,42003040200,53
42003160800,42003040200,53
42003290400,42003040200,53
42003409000,42003429201,53
42003412001,42003413500,53
42003413400,42003413500,53
42003414200,42003421100,53
42003429300,42003429300,53
42003449000,42003451300,53
42003451105,42003451101,53
42003451105,42003470502,53
42003456004,42003470300,53
42003457200,42003459201,53
42003469000,42003040200,53
42003472100,42003982200,53
42003473602,42003459201,53
42003474203,42003474102,53
42003477300,42003459201,53
42003521100,42003982200,53
42003522000,42003522000,53
42003523702,42003523702,53
42003525100,42003421100,53
42003526301,42003521301,53
42003526302,42003521301,53
42003562800,42003459201,53
42003070500,42003070500,52
42003070600,42003140100,52
42003101100,42003101100,52
42003101800,42003040200,52
42003130100,42003020100,52
42003241200,42003020100,52
42003402000,42003401300,52
42003406000,42003020100,52
42003412002,42003409000,52
42003413100,42003452000,52
42003414101,42003409000,52
42003429202,42003429400,52
42003429400,42003411000,52
42003430200,42003040900,52
42003430200,42003409000,52
42003448000,42003448000,52
42003451300,42003451101,52
42003460001,42003459102,52
42003468900,42003468900,52
42003475304,42003982200,52
42003476100,42003469000,52
42003484300,42003040200,52
42003521301,42003040200,52
42003523501,42003521200,52
42003523501,42003982200,52
42003523600,42003523600,52
42003526302,42003520001,52
42003564500,42003491200,52
42003040900,42003040200,51
42003070300,42003040200,51
42003110200,42003140100,51
42003160800,42003160900,51
42003191600,42003040200,51
42003191700,42003040200,51
42003202300,42003459201,51
42003401200,42003020100,51
42003402000,42003020100,51
42003409000,42003562700,51
42003413300,42003040200,51
42003413400,42003413300,51
42003429500,42003982200,51
42003437000,42003429400,51
42003451102,42003451102,51
42003451300,42003450800,51
42003456003,42003470300,51
42003464400,42003464400,51
42003470502,42003459201,51
42003473100,42003469000,51
42003473401,42003473200,51
42003473602,42003470300,51
42003474202,42003982200,51
42003478200,42003421100,51
42003478200,42003478200,51
42003486800,42003020100,51
42003488400,42003982200,51
42003488600,42003040200,51
42003489001,42003491101,51
42003490002,42003490003,51
42003499400,42003020100,51
42003520002,42003521200,51
42003521500,42003040200,51
42003521500,42003421100,51
42003523701,42003524000,51
42003523701,42003982200,51
42003523800,42003421100,51
42003526302,42003521500,51
42003561500,42003982200,51
42003563900,42003040900,51
42003191400,42003191400,50
42003192000,42003459201,50
42003290200,42003478100,50
42003310200,42003040200,50
42003401200,42003401300,50
42003408002,42003411000,50
42003408002,42003413500,50
42003411000,42003451300,50
42003413100,42003220600,50
42003416000,42003020100,50
42003417100,42003419000,50
42003420000,42003020100,50
42003427100,42003426400,50
42003429300,42003040200,50
42003449000,42003459201,50
42003450700,42003450800,50
42003458000,42003451300,50
42003468900,42003458000,50
42003470400,42003459201,50
42003470502,42003458000,50
42003473200,42003473200,50
42003475101,42003459201,50
42003475304,42003452000,50
42003478200,42003040900,50
42003478200,42003469000,50
42003490004,42003490004,50
42003492900,42003020100,50
42003496101,42003496102,50
42003515300,42003982200,50
42003516100,42003040200,50
42003521100,42003040200,50
42003521301,42003982200,50
42003523701,42003040200,50
42003526101,42003525200,50
42003526102,42003020100,50
42003020100,42003010300,49
42003020300,42003020300,49
42003040500,42003020100,49
42003080200,42003982200,49
42003151700,42003020300,49
42003202200,42003459201,49
42003290400,42003982200,49
42003310200,42003982200,49
42003401100,42003040200,49
42003408001,42003411000,49
42003414102,42003040900,49
42003414102,42003408001,49
42003426300,42003459201,49
42003429300,42003459201,49
42003429500,42003429400,49
42003430200,42003429400,49
42003431100,42003431500,49
42003451101,42003451102,49
42003451105,42003451102,49
42003452000,42003458000,49
42003459102,42003451105,49
42003459201,42003982200,49
42003462100,42003462100,49
42003468800,42003458000,49
42003469000,42003452000,49
42003473300,42003470300,49
42003475301,42003475101,49
42003475304,42003475304,49
42003480101,42003040200,49
42003480101,42003040900,49
42003484300,42003483800,49
42003488200,42003982200,49
42003488600,42003488300,49
42003498000,42003498000,49
42003499400,42003488600,49
42003509400,42003520001,49
42003521402,42003040200,49
42003523100,42003040200,49
42003523200,42003982200,49
42003523501,42003040200,49
42003523600,42003040900,49
42003523600,42003421100,49
42003525300,42003525200,49
42003526201,42003521301,49
42003526301,42003421100,49
42003526302,42003421100,49
42003111300,42003111500,48
42003191800,42003040900,48
42003300100,42003982200,48
42003407001,42003409000,48
42003413201,42003411000,48
42003413202,42003413300,48
42003416000,42003421100,48
42003422000,42003010300,48
42003422000,42003140100,48
42003426300,42003429201,48
42003427100,42003469000,48
42003429201,42003470502,48
42003429300,42003040900,48
